lat,lon
37.833204,-122.513227
37.833204,-122.509591
37.833204,-122.505954
37.833204,-122.502317
37.833204,-122.498681
37.833204,-122.495044
37.833204,-122.491408
37.833204,-122.487771
37.833204,-122.484135
37.833204,-122.480498
37.833204,-122.476861
37.833204,-122.473225
37.833204,-122.469588
37.833204,-122.465952
37.833204,-122.462315
37.833204,-122.458679
37.833204,-122.455042
37.833204,-122.451406
37.833204,-122.447769
37.833204,-122.444132
37.833204,-122.440496
37.833204,-122.436859
37.833204,-122.433223
37.833204,-122.429586
37.833204,-122.42595
37.833204,-122.422313
37.833204,-122.418676
37.833204,-122.41504
37.833204,-122.411403
37.833204,-122.407767
37.833204,-122.40413
37.833204,-122.400494
37.833204,-122.396857
37.833204,-122.39322
37.833204,-122.389584
37.833204,-122.385947
37.833204,-122.382311
37.833204,-122.378674
37.833204,-122.375038
37.833204,-122.371401
37.833204,-122.367765
37.833204,-122.364128
37.833204,-122.360491
37.833204,-122.356855
37.832845,-122.513227
37.832845,-122.509591
37.832845,-122.505954
37.832845,-122.502317
37.832845,-122.498681
37.832845,-122.495044
37.832845,-122.491408
37.832845,-122.487771
37.832845,-122.484135
37.832845,-122.480498
37.832845,-122.476861
37.832845,-122.473225
37.832845,-122.469588
37.832845,-122.465952
37.832845,-122.462315
37.832845,-122.458679
37.832845,-122.455042
37.832845,-122.451406
37.832845,-122.447769
37.832845,-122.444132
37.832845,-122.440496
37.832845,-122.436859
37.832845,-122.433223
37.832845,-122.429586
37.832845,-122.42595
37.832845,-122.422313
37.832845,-122.418676
37.832845,-122.41504
37.832845,-122.411403
37.832845,-122.407767
37.832845,-122.40413
37.832845,-122.400494
37.832845,-122.396857
37.832845,-122.39322
37.832845,-122.389584
37.832845,-122.385947
37.832845,-122.382311
37.832845,-122.378674
37.832845,-122.375038
37.832845,-122.371401
37.832845,-122.367765
37.832845,-122.364128
37.832845,-122.360491
37.832845,-122.356855
37.832486,-122.513227
37.832486,-122.509591
37.832486,-122.505954
37.832486,-122.502317
37.832486,-122.498681
37.832486,-122.495044
37.832486,-122.491408
37.832486,-122.487771
37.832486,-122.484135
37.832486,-122.480498
37.832486,-122.476861
37.832486,-122.473225
37.832486,-122.469588
37.832486,-122.465952
37.832486,-122.462315
37.832486,-122.458679
37.832486,-122.455042
37.832486,-122.451406
37.832486,-122.447769
37.832486,-122.444132
37.832486,-122.440496
37.832486,-122.436859
37.832486,-122.433223
37.832486,-122.429586
37.832486,-122.42595
37.832486,-122.422313
37.832486,-122.418676
37.832486,-122.41504
37.832486,-122.411403
37.832486,-122.407767
37.832486,-122.40413
37.832486,-122.400494
37.832486,-122.396857
37.832486,-122.39322
37.832486,-122.389584
37.832486,-122.385947
37.832486,-122.382311
37.832486,-122.378674
37.832486,-122.375038
37.832486,-122.371401
37.832486,-122.367765
37.832486,-122.364128
37.832486,-122.360491
37.832486,-122.356855
37.832126,-122.513227
37.832126,-122.509591
37.832126,-122.505954
37.832126,-122.502317
37.832126,-122.498681
37.832126,-122.495044
37.832126,-122.491408
37.832126,-122.487771
37.832126,-122.484135
37.832126,-122.480498
37.832126,-122.476861
37.832126,-122.473225
37.832126,-122.469588
37.832126,-122.465952
37.832126,-122.462315
37.832126,-122.458679
37.832126,-122.455042
37.832126,-122.451406
37.832126,-122.447769
37.832126,-122.444132
37.832126,-122.440496
37.832126,-122.436859
37.832126,-122.433223
37.832126,-122.429586
37.832126,-122.42595
37.832126,-122.422313
37.832126,-122.418676
37.832126,-122.41504
37.832126,-122.411403
37.832126,-122.407767
37.832126,-122.40413
37.832126,-122.400494
37.832126,-122.396857
37.832126,-122.39322
37.832126,-122.389584
37.832126,-122.385947
37.832126,-122.382311
37.832126,-122.378674
37.832126,-122.375038
37.832126,-122.371401
37.832126,-122.367765
37.832126,-122.364128
37.832126,-122.360491
37.832126,-122.356855
37.831767,-122.513227
37.831767,-122.509591
37.831767,-122.505954
37.831767,-122.502317
37.831767,-122.498681
37.831767,-122.495044
37.831767,-122.491408
37.831767,-122.487771
37.831767,-122.484135
37.831767,-122.480498
37.831767,-122.476861
37.831767,-122.473225
37.831767,-122.469588
37.831767,-122.465952
37.831767,-122.462315
37.831767,-122.458679
37.831767,-122.455042
37.831767,-122.451406
37.831767,-122.447769
37.831767,-122.444132
37.831767,-122.440496
37.831767,-122.436859
37.831767,-122.433223
37.831767,-122.429586
37.831767,-122.42595
37.831767,-122.422313
37.831767,-122.418676
37.831767,-122.41504
37.831767,-122.411403
37.831767,-122.407767
37.831767,-122.40413
37.831767,-122.400494
37.831767,-122.396857
37.831767,-122.39322
37.831767,-122.389584
37.831767,-122.385947
37.831767,-122.382311
37.831767,-122.378674
37.831767,-122.375038
37.831767,-122.371401
37.831767,-122.367765
37.831767,-122.364128
37.831767,-122.360491
37.831767,-122.356855
37.831408,-122.513227
37.831408,-122.509591
37.831408,-122.505954
37.831408,-122.502317
37.831408,-122.498681
37.831408,-122.495044
37.831408,-122.491408
37.831408,-122.487771
37.831408,-122.484135
37.831408,-122.480498
37.831408,-122.476861
37.831408,-122.473225
37.831408,-122.469588
37.831408,-122.465952
37.831408,-122.462315
37.831408,-122.458679
37.831408,-122.455042
37.831408,-122.451406
37.831408,-122.447769
37.831408,-122.444132
37.831408,-122.440496
37.831408,-122.436859
37.831408,-122.433223
37.831408,-122.429586
37.831408,-122.42595
37.831408,-122.422313
37.831408,-122.418676
37.831408,-122.41504
37.831408,-122.411403
37.831408,-122.407767
37.831408,-122.40413
37.831408,-122.400494
37.831408,-122.396857
37.831408,-122.39322
37.831408,-122.389584
37.831408,-122.385947
37.831408,-122.382311
37.831408,-122.378674
37.831408,-122.375038
37.831408,-122.371401
37.831408,-122.367765
37.831408,-122.364128
37.831408,-122.360491
37.831408,-122.356855
37.831048,-122.513227
37.831048,-122.509591
37.831048,-122.505954
37.831048,-122.502317
37.831048,-122.498681
37.831048,-122.495044
37.831048,-122.491408
37.831048,-122.487771
37.831048,-122.484135
37.831048,-122.480498
37.831048,-122.476861
37.831048,-122.473225
37.831048,-122.469588
37.831048,-122.465952
37.831048,-122.462315
37.831048,-122.458679
37.831048,-122.455042
37.831048,-122.451406
37.831048,-122.447769
37.831048,-122.444132
37.831048,-122.440496
37.831048,-122.436859
37.831048,-122.433223
37.831048,-122.429586
37.831048,-122.42595
37.831048,-122.422313
37.831048,-122.418676
37.831048,-122.41504
37.831048,-122.411403
37.831048,-122.407767
37.831048,-122.40413
37.831048,-122.400494
37.831048,-122.396857
37.831048,-122.39322
37.831048,-122.389584
37.831048,-122.385947
37.831048,-122.382311
37.831048,-122.378674
37.831048,-122.375038
37.831048,-122.371401
37.831048,-122.367765
37.831048,-122.364128
37.831048,-122.360491
37.831048,-122.356855
37.830689,-122.513227
37.830689,-122.509591
37.830689,-122.505954
37.830689,-122.502317
37.830689,-122.498681
37.830689,-122.495044
37.830689,-122.491408
37.830689,-122.487771
37.830689,-122.484135
37.830689,-122.480498
37.830689,-122.476861
37.830689,-122.473225
37.830689,-122.469588
37.830689,-122.465952
37.830689,-122.462315
