lat,lon
37.833204,-122.515045
37.833204,-122.511409
37.833204,-122.507772
37.833204,-122.504136
37.833204,-122.500499
37.833204,-122.496863
37.833204,-122.493226
37.833204,-122.489589
37.833204,-122.485953
37.833204,-122.482316
37.833204,-122.47868
37.833204,-122.475043
37.833204,-122.471407
37.833204,-122.46777
37.833204,-122.464134
37.833204,-122.460497
37.833204,-122.45686
37.833204,-122.453224
37.833204,-122.449587
37.833204,-122.445951
37.833204,-122.442314
37.833204,-122.438678
37.833204,-122.435041
37.833204,-122.431404
37.833204,-122.427768
37.833204,-122.424131
37.833204,-122.420495
37.833204,-122.416858
37.833204,-122.413222
37.833204,-122.409585
37.833204,-122.405948
37.833204,-122.402312
37.833204,-122.398675
37.833204,-122.395039
37.833204,-122.391402
37.833204,-122.387766
37.833204,-122.384129
37.833204,-122.380493
37.833204,-122.376856
37.833204,-122.373219
37.833204,-122.369583
37.833204,-122.365946
37.833204,-122.36231
37.833204,-122.358673
37.833204,-122.355037
37.832845,-122.515045
37.832845,-122.511409
37.832845,-122.507772
37.832845,-122.504136
37.832845,-122.500499
37.832845,-122.496863
37.832845,-122.493226
37.832845,-122.489589
37.832845,-122.485953
37.832845,-122.482316
37.832845,-122.47868
37.832845,-122.475043
37.832845,-122.471407
37.832845,-122.46777
37.832845,-122.464134
37.832845,-122.460497
37.832845,-122.45686
37.832845,-122.453224
37.832845,-122.449587
37.832845,-122.445951
37.832845,-122.442314
37.832845,-122.438678
37.832845,-122.435041
37.832845,-122.431404
37.832845,-122.427768
37.832845,-122.424131
37.832845,-122.420495
37.832845,-122.416858
37.832845,-122.413222
37.832845,-122.409585
37.832845,-122.405948
37.832845,-122.402312
37.832845,-122.398675
37.832845,-122.395039
37.832845,-122.391402
37.832845,-122.387766
37.832845,-122.384129
37.832845,-122.380493
37.832845,-122.376856
37.832845,-122.373219
37.832845,-122.369583
37.832845,-122.365946
37.832845,-122.36231
37.832845,-122.358673
37.832845,-122.355037
37.832486,-122.515045
