lat,lon
37.833204,-122.514591
37.833204,-122.510954
37.833204,-122.507318
37.833204,-122.503681
37.833204,-122.500045
37.833204,-122.496408
37.833204,-122.492771
37.833204,-122.489135
37.833204,-122.485498
37.833204,-122.481862
37.833204,-122.478225
37.833204,-122.474589
37.833204,-122.470952
37.833204,-122.467316
37.833204,-122.463679
37.833204,-122.460042
37.833204,-122.456406
37.833204,-122.452769
37.833204,-122.449133
37.833204,-122.445496
37.833204,-122.44186
37.833204,-122.438223
37.833204,-122.434586
37.833204,-122.43095
37.833204,-122.427313
37.833204,-122.423677
37.833204,-122.42004
37.833204,-122.416404
37.833204,-122.412767
37.833204,-122.40913
37.833204,-122.405494
37.833204,-122.401857
37.833204,-122.398221
37.833204,-122.394584
37.833204,-122.390948
37.833204,-122.387311
37.833204,-122.383674
37.833204,-122.380038
37.833204,-122.376401
37.833204,-122.372765
37.833204,-122.369128
37.833204,-122.365492
37.833204,-122.361855
37.833204,-122.358219
37.832845,-122.514591
37.832845,-122.510954
37.832845,-122.507318
37.832845,-122.503681
37.832845,-122.500045
37.832845,-122.496408
37.832845,-122.492771
37.832845,-122.489135
37.832845,-122.485498
37.832845,-122.481862
37.832845,-122.478225
37.832845,-122.474589
37.832845,-122.470952
37.832845,-122.467316
37.832845,-122.463679
37.832845,-122.460042
37.832845,-122.456406
37.832845,-122.452769
37.832845,-122.449133
37.832845,-122.445496
37.832845,-122.44186
37.832845,-122.438223
37.832845,-122.434586
37.832845,-122.43095
37.832845,-122.427313
37.832845,-122.423677
37.832845,-122.42004
37.832845,-122.416404
37.832845,-122.412767
37.832845,-122.40913
37.832845,-122.405494
37.832845,-122.401857
37.832845,-122.398221
37.832845,-122.394584
37.832845,-122.390948
37.832845,-122.387311
37.832845,-122.383674
37.832845,-122.380038
37.832845,-122.376401
37.832845,-122.372765
37.832845,-122.369128
37.832845,-122.365492
37.832845,-122.361855
37.832845,-122.358219
37.832486,-122.514591
37.832486,-122.510954
37.832486,-122.507318
37.832486,-122.503681
37.832486,-122.500045
37.832486,-122.496408
37.832486,-122.492771
37.832486,-122.489135
37.832486,-122.485498
37.832486,-122.481862
37.832486,-122.478225
37.832486,-122.474589
37.832486,-122.470952
37.832486,-122.467316
37.832486,-122.463679
37.832486,-122.460042
37.832486,-122.456406
37.832486,-122.452769
37.832486,-122.449133
37.832486,-122.445496
37.832486,-122.44186
37.832486,-122.438223
37.832486,-122.434586
37.832486,-122.43095
37.832486,-122.427313
37.832486,-122.423677
37.832486,-122.42004
37.832486,-122.416404
37.832486,-122.412767
37.832486,-122.40913
37.832486,-122.405494
37.832486,-122.401857
37.832486,-122.398221
37.832486,-122.394584
37.832486,-122.390948
37.832486,-122.387311
37.832486,-122.383674
37.832486,-122.380038
37.832486,-122.376401
37.832486,-122.372765
37.832486,-122.369128
37.832486,-122.365492
37.832486,-122.361855
37.832486,-122.358219
37.832126,-122.514591
37.832126,-122.510954
37.832126,-122.507318
37.832126,-122.503681
37.832126,-122.500045
37.832126,-122.496408
37.832126,-122.492771
37.832126,-122.489135
37.832126,-122.485498
37.832126,-122.481862
37.832126,-122.478225
37.832126,-122.474589
37.832126,-122.470952
37.832126,-122.467316
37.832126,-122.463679
37.832126,-122.460042
37.832126,-122.456406
37.832126,-122.452769
37.832126,-122.449133
37.832126,-122.445496
37.832126,-122.44186
37.832126,-122.438223
37.832126,-122.434586
37.832126,-122.43095
37.832126,-122.427313
37.832126,-122.423677
37.832126,-122.42004
37.832126,-122.416404
37.832126,-122.412767
37.832126,-122.40913
37.832126,-122.405494
37.832126,-122.401857
37.832126,-122.398221
37.832126,-122.394584
37.832126,-122.390948
37.832126,-122.387311
37.832126,-122.383674
37.832126,-122.380038
37.832126,-122.376401
37.832126,-122.372765
37.832126,-122.369128
37.832126,-122.365492
37.832126,-122.361855
37.832126,-122.358219
37.831767,-122.514591
37.831767,-122.510954
37.831767,-122.507318
37.831767,-122.503681
37.831767,-122.500045
37.831767,-122.496408
37.831767,-122.492771
37.831767,-122.489135
37.831767,-122.485498
37.831767,-122.481862
37.831767,-122.478225
37.831767,-122.474589
37.831767,-122.470952
37.831767,-122.467316
37.831767,-122.463679
37.831767,-122.460042
37.831767,-122.456406
37.831767,-122.452769
37.831767,-122.449133
37.831767,-122.445496
37.831767,-122.44186
37.831767,-122.438223
37.831767,-122.434586
37.831767,-122.43095
37.831767,-122.427313
37.831767,-122.423677
37.831767,-122.42004
37.831767,-122.416404
37.831767,-122.412767
37.831767,-122.40913
37.831767,-122.405494
37.831767,-122.401857
37.831767,-122.398221
37.831767,-122.394584
37.831767,-122.390948
37.831767,-122.387311
37.831767,-122.383674
37.831767,-122.380038
37.831767,-122.376401
37.831767,-122.372765
37.831767,-122.369128
37.831767,-122.365492
37.831767,-122.361855
37.831767,-122.358219
37.831408,-122.514591
37.831408,-122.510954
37.831408,-122.507318
37.831408,-122.503681
37.831408,-122.500045
37.831408,-122.496408
37.831408,-122.492771
37.831408,-122.489135
37.831408,-122.485498
37.831408,-122.481862
37.831408,-122.478225
37.831408,-122.474589
37.831408,-122.470952
37.831408,-122.467316
37.831408,-122.463679
37.831408,-122.460042
37.831408,-122.456406
37.831408,-122.452769
37.831408,-122.449133
37.831408,-122.445496
37.831408,-122.44186
37.831408,-122.438223
37.831408,-122.434586
37.831408,-122.43095
37.831408,-122.427313
37.831408,-122.423677
37.831408,-122.42004
37.831408,-122.416404
37.831408,-122.412767
37.831408,-122.40913
37.831408,-122.405494
37.831408,-122.401857
37.831408,-122.398221
37.831408,-122.394584
37.831408,-122.390948
37.831408,-122.387311
37.831408,-122.383674
37.831408,-122.380038
37.831408,-122.376401
37.831408,-122.372765
37.831408,-122.369128
37.831408,-122.365492
37.831408,-122.361855
37.831408,-122.358219
37.831048,-122.514591
37.831048,-122.510954
37.831048,-122.507318
37.831048,-122.503681
37.831048,-122.500045
37.831048,-122.496408
37.831048,-122.492771
37.831048,-122.489135
37.831048,-122.485498
37.831048,-122.481862
37.831048,-122.478225
37.831048,-122.474589
37.831048,-122.470952
37.831048,-122.467316
37.831048,-122.463679
37.831048,-122.460042
37.831048,-122.456406
37.831048,-122.452769
37.831048,-122.449133
37.831048,-122.445496
37.831048,-122.44186
37.831048,-122.438223
37.831048,-122.434586
37.831048,-122.43095
37.831048,-122.427313
37.831048,-122.423677
37.831048,-122.42004
37.831048,-122.416404
37.831048,-122.412767
37.831048,-122.40913
37.831048,-122.405494
37.831048,-122.401857
37.831048,-122.398221
37.831048,-122.394584
37.831048,-122.390948
37.831048,-122.387311
37.831048,-122.383674
37.831048,-122.380038
37.831048,-122.376401
37.831048,-122.372765
37.831048,-122.369128
37.831048,-122.365492
37.831048,-122.361855
37.831048,-122.358219
37.830689,-122.514591
37.830689,-122.510954
37.830689,-122.507318
37.830689,-122.503681
37.830689,-122.500045
37.830689,-122.496408
37.830689,-122.492771
37.830689,-122.489135
37.830689,-122.485498
37.830689,-122.481862
37.830689,-122.478225
37.830689,-122.474589
37.830689,-122.470952
37.830689,-122.467316
37.830689,-122.463679
37.830689,-122.460042
37.830689,-122.456406
37.830689,-122.452769
37.830689,-122.449133
37.830689,-122.445496
37.830689,-122.44186
37.830689,-122.438223
37.830689,-122.434586
37.830689,-122.43095
37.830689,-122.427313
37.830689,-122.423677
37.830689,-122.42004
37.830689,-122.416404
37.830689,-122.412767
37.830689,-122.40913
37.830689,-122.405494
37.830689,-122.401857
37.830689,-122.398221
37.830689,-122.394584
37.830689,-122.390948
37.830689,-122.387311
37.830689,-122.383674
37.830689,-122.380038
37.830689,-122.376401
37.830689,-122.372765
37.830689,-122.369128
37.830689,-122.365492
37.830689,-122.361855
37.830689,-122.358219
37.83033,-122.514591
37.83033,-122.510954
37.83033,-122.507318
37.83033,-122.503681
37.83033,-122.500045
37.83033,-122.496408
37.83033,-122.492771
37.83033,-122.489135
37.83033,-122.485498
37.83033,-122.481862
37.83033,-122.478225
37.83033,-122.474589
37.83033,-122.470952
37.83033,-122.467316
37.83033,-122.463679
37.83033,-122.460042
37.83033,-122.456406
37.83033,-122.452769
37.83033,-122.449133
37.83033,-122.445496
37.83033,-122.44186
