lat,lon
37.708878,-122.361492
37.708878,-122.360811
37.708878,-122.36013
37.708878,-122.359448
37.708878,-122.358767
37.708878,-122.358085
37.708878,-122.357404
37.708878,-122.356722
37.708878,-122.356041
37.708878,-122.355359
37.709417,-122.5155
37.709417,-122.514819
37.709417,-122.514137
37.709417,-122.513456
37.709417,-122.512774
37.709417,-122.512093
37.709417,-122.511411
37.709417,-122.51073
37.709417,-122.510048
37.709417,-122.509367
37.709417,-122.508686
37.709417,-122.508004
37.709417,-122.507323
37.709417,-122.506641
37.709417,-122.50596
37.709417,-122.505278
37.709417,-122.504597
37.709417,-122.503915
37.709417,-122.503234
37.709417,-122.502552
37.709417,-122.501871
37.709417,-122.50119
37.709417,-122.500508
37.709417,-122.499827
37.709417,-122.499145
37.709417,-122.498464
37.709417,-122.497782
37.709417,-122.497101
37.709417,-122.496419
37.709417,-122.495738
37.709417,-122.495057
37.709417,-122.494375
37.709417,-122.493694
37.709417,-122.493012
37.709417,-122.492331
37.709417,-122.491649
37.709417,-122.490968
37.709417,-122.490286
37.709417,-122.489605
37.709417,-122.488923
37.709417,-122.488242
37.709417,-122.487561
37.709417,-122.486879
37.709417,-122.486198
37.709417,-122.485516
37.709417,-122.484835
37.709417,-122.484153
37.709417,-122.483472
37.709417,-122.48279
37.709417,-122.482109
37.709417,-122.481428
37.709417,-122.480746
37.709417,-122.480065
37.709417,-122.479383
37.709417,-122.478702
37.709417,-122.47802
37.709417,-122.477339
37.709417,-122.476657
37.709417,-122.475976
37.709417,-122.475294
37.709417,-122.474613
37.709417,-122.473932
37.709417,-122.47325
37.709417,-122.472569
37.709417,-122.471887
37.709417,-122.471206
37.709417,-122.470524
37.709417,-122.469843
37.709417,-122.469161
37.709417,-122.46848
37.709417,-122.467799
37.709417,-122.467117
37.709417,-122.466436
37.709417,-122.465754
37.709417,-122.465073
37.709417,-122.464391
37.709417,-122.46371
37.709417,-122.463028
37.709417,-122.462347
37.709417,-122.461666
37.709417,-122.460984
37.709417,-122.460303
37.709417,-122.459621
37.709417,-122.45894
37.709417,-122.458258
37.709417,-122.457577
37.709417,-122.456895
37.709417,-122.456214
37.709417,-122.455532
37.709417,-122.454851
37.709417,-122.45417
37.709417,-122.453488
37.709417,-122.452807
37.709417,-122.452125
37.709417,-122.451444
37.709417,-122.450762
37.709417,-122.450081
37.709417,-122.449399
37.709417,-122.448718
37.709417,-122.448037
37.709417,-122.447355
37.709417,-122.446674
37.709417,-122.445992
37.709417,-122.445311
37.709417,-122.444629
37.709417,-122.443948
37.709417,-122.443266
37.709417,-122.442585
37.709417,-122.441903
37.709417,-122.441222
37.709417,-122.440541
37.709417,-122.439859
37.709417,-122.439178
37.709417,-122.438496
37.709417,-122.437815
37.709417,-122.437133
37.709417,-122.436452
37.709417,-122.43577
37.709417,-122.435089
37.709417,-122.434408
37.709417,-122.433726
37.709417,-122.433045
37.709417,-122.432363
37.709417,-122.431682
37.709417,-122.431
37.709417,-122.430319
37.709417,-122.429637
37.709417,-122.428956
37.709417,-122.428274
37.709417,-122.427593
37.709417,-122.426912
37.709417,-122.42623
37.709417,-122.425549
37.709417,-122.424867
37.709417,-122.424186
37.709417,-122.423504
37.709417,-122.422823
37.709417,-122.422141
37.709417,-122.42146
37.709417,-122.420779
37.709417,-122.420097
37.709417,-122.419416
37.709417,-122.418734
37.709417,-122.418053
