lat,lon
37.708159,-122.392311
37.708159,-122.391857
37.708159,-122.391402
37.708159,-122.390948
37.708159,-122.390493
37.708159,-122.390038
37.708159,-122.389584
37.708159,-122.389129
37.708159,-122.388675
37.708159,-122.38822
37.708159,-122.387766
37.708159,-122.387311
37.708159,-122.386856
37.708159,-122.386402
37.708159,-122.385947
37.708159,-122.385493
37.708159,-122.385038
37.708159,-122.384584
37.708159,-122.384129
37.708159,-122.383674
37.708159,-122.38322
37.708159,-122.382765
37.708159,-122.382311
37.708159,-122.381856
37.708159,-122.381402
37.708159,-122.380947
37.708159,-122.380493
37.708159,-122.380038
37.708159,-122.379583
37.708159,-122.379129
37.708159,-122.378674
37.708159,-122.37822
37.708159,-122.377765
37.708159,-122.377311
37.708159,-122.376856
37.708159,-122.376401
37.708159,-122.375947
37.708159,-122.375492
37.708159,-122.375038
37.708159,-122.374583
37.708159,-122.374129
37.708159,-122.373674
37.708159,-122.373219
37.708159,-122.372765
37.708159,-122.37231
37.708159,-122.371856
37.708159,-122.371401
37.708159,-122.370947
37.708159,-122.370492
37.708159,-122.370037
37.708159,-122.369583
37.708159,-122.369128
37.708159,-122.368674
37.708159,-122.368219
37.708159,-122.367765
37.708159,-122.36731
37.708159,-122.366855
37.708159,-122.366401
37.708159,-122.365946
37.708159,-122.365492
37.708159,-122.365037
37.708159,-122.364583
37.708159,-122.364128
37.708159,-122.363673
37.708159,-122.363219
37.708159,-122.362764
37.708159,-122.36231
37.708159,-122.361855
37.708159,-122.361401
37.708159,-122.360946
37.708159,-122.360491
37.708159,-122.360037
37.708159,-122.359582
37.708159,-122.359128
37.708159,-122.358673
37.708159,-122.358219
37.708159,-122.357764
37.708159,-122.357309
37.708159,-122.356855
37.708159,-122.3564
37.708159,-122.355946
37.708159,-122.355491
37.708159,-122.355037
37.708519,-122.5155
37.708519,-122.515045
37.708519,-122.514591
37.708519,-122.514136
37.708519,-122.513682
37.708519,-122.513227
37.708519,-122.512773
37.708519,-122.512318
37.708519,-122.511863
37.708519,-122.511409
37.708519,-122.510954
37.708519,-122.5105
37.708519,-122.510045
37.708519,-122.509591
37.708519,-122.509136
37.708519,-122.508681
37.708519,-122.508227
37.708519,-122.507772
37.708519,-122.507318
37.708519,-122.506863
37.708519,-122.506409
37.708519,-122.505954
37.708519,-122.505499
37.708519,-122.505045
37.708519,-122.50459
37.708519,-122.504136
37.708519,-122.503681
37.708519,-122.503227
37.708519,-122.502772
37.708519,-122.502317
37.708519,-122.501863
37.708519,-122.501408
37.708519,-122.500954
37.708519,-122.500499
37.708519,-122.500045
37.708519,-122.49959
37.708519,-122.499135
37.708519,-122.498681
37.708519,-122.498226
37.708519,-122.497772
37.708519,-122.497317
37.708519,-122.496863
37.708519,-122.496408
37.708519,-122.495953
37.708519,-122.495499
37.708519,-122.495044
37.708519,-122.49459
37.708519,-122.494135
37.708519,-122.493681
37.708519,-122.493226
37.708519,-122.492771
37.708519,-122.492317
37.708519,-122.491862
37.708519,-122.491408
37.708519,-122.490953
37.708519,-122.490499
37.708519,-122.490044
37.708519,-122.489589
37.708519,-122.489135
37.708519,-122.48868
37.708519,-122.488226
37.708519,-122.487771
37.708519,-122.487317
37.708519,-122.486862
37.708519,-122.486407
37.708519,-122.485953
37.708519,-122.485498
37.708519,-122.485044
37.708519,-122.484589
37.708519,-122.484135
37.708519,-122.48368
37.708519,-122.483225
37.708519,-122.482771
37.708519,-122.482316
37.708519,-122.481862
37.708519,-122.481407
37.708519,-122.480953
37.708519,-122.480498
37.708519,-122.480043
37.708519,-122.479589
37.708519,-122.479134
37.708519,-122.47868
37.708519,-122.478225
37.708519,-122.477771
37.708519,-122.477316
37.708519,-122.476861
37.708519,-122.476407
37.708519,-122.475952
37.708519,-122.475498
37.708519,-122.475043
37.708519,-122.474589
37.708519,-122.474134
37.708519,-122.473679
37.708519,-122.473225
37.708519,-122.47277
37.708519,-122.472316
37.708519,-122.471861
37.708519,-122.471407
37.708519,-122.470952
37.708519,-122.470498
37.708519,-122.470043
37.708519,-122.469588
37.708519,-122.469134
37.708519,-122.468679
37.708519,-122.468225
37.708519,-122.46777
37.708519,-122.467316
37.708519,-122.466861
37.708519,-122.466406
37.708519,-122.465952
37.708519,-122.465497
37.708519,-122.465043
37.708519,-122.464588
37.708519,-122.464134
37.708519,-122.463679
37.708519,-122.463224
37.708519,-122.46277
37.708519,-122.462315
37.708519,-122.461861
37.708519,-122.461406
37.708519,-122.460952
37.708519,-122.460497
37.708519,-122.460042
37.708519,-122.459588
37.708519,-122.459133
37.708519,-122.458679
37.708519,-122.458224
37.708519,-122.45777
37.708519,-122.457315
37.708519,-122.45686
37.708519,-122.456406
37.708519,-122.455951
37.708519,-122.455497
37.708519,-122.455042
37.708519,-122.454588
37.708519,-122.454133
37.708519,-122.453678
37.708519,-122.453224
37.708519,-122.452769
37.708519,-122.452315
37.708519,-122.45186
37.708519,-122.451406
37.708519,-122.450951
37.708519,-122.450496
37.708519,-122.450042
37.708519,-122.449587
37.708519,-122.449133
37.708519,-122.448678
37.708519,-122.448224
37.708519,-122.447769
37.708519,-122.447314
37.708519,-122.44686
37.708519,-122.446405
37.708519,-122.445951
37.708519,-122.445496
37.708519,-122.445042
37.708519,-122.444587
37.708519,-122.444132
37.708519,-122.443678
37.708519,-122.443223
37.708519,-122.442769
37.708519,-122.442314
37.708519,-122.44186
37.708519,-122.441405
37.708519,-122.44095
37.708519,-122.440496
37.708519,-122.440041
37.708519,-122.439587
37.708519,-122.439132
37.708519,-122.438678
37.708519,-122.438223
37.708519,-122.437768
37.708519,-122.437314
37.708519,-122.436859
37.708519,-122.436405
37.708519,-122.43595
37.708519,-122.435496
37.708519,-122.435041
37.708519,-122.434586
37.708519,-122.434132
37.708519,-122.433677
37.708519,-122.433223
37.708519,-122.432768
37.708519,-122.432314
37.708519,-122.431859
37.708519,-122.431404
37.708519,-122.43095
37.708519,-122.430495
